"specieex","experts","specieclu","clusterunif"
"Falco peregrinus","low","Falco peregrinus","medium"
"Falco subbuteo","medium","Falco subbuteo","medium"
"Falco tinnunculus","high","Falco tinnunculus","high"
"Falco vespertinus","low","Falco vespertinus","low"
"Fringilla coelebs","medium","Fringilla coelebs","high"
"Fringilla montifringilla","medium","Fringilla montifringilla","low"
"Fulica atra","low","Fulica atra","high"
"Galerida cristata","low","Galerida cristata","high"
"Gallinago gallinago","medium","Gallinago gallinago","high"
"Gallinula chloropus","high","Gallinula chloropus","high"
"Garrulus glandarius","medium","Garrulus glandarius","high"
"Gelochelidon nilotica","low","Gelochelidon nilotica","medium"
"Gonepteryx rhamni","medium","Gonepteryx rhamni","low"
"Grus grus","low","Grus grus","medium"
"Haematopus ostralegus","low","Haematopus ostralegus","medium"
"Halyomorpha halys","high","Halyomorpha halys","low"
"Hieraaetus pennatus","low","Hieraaetus pennatus","low"
"Himantopus himantopus","medium","Himantopus himantopus","high"
"Hirundo rustica","high","Hirundo rustica","high"
"Hydrocoloeus minutus","medium","Hydrocoloeus minutus","low"
"Ichthyaetus melanocephalus","low","Ichthyaetus melanocephalus","high"
"Ischnura elegans","high","Ischnura elegans","medium"
"Ixobrychus minutus","low","Ixobrychus minutus","medium"
"Jynx torquilla","low","Jynx torquilla","medium"
"Lanius collurio","low","Lanius collurio","medium"
"Larus canus","low","Larus canus","low"
"Larus fuscus","low","Larus fuscus","low"
"Larus michahellis","high","Larus michahellis","high"
"Lasiommata megera","medium","Lasiommata megera","low"
"Lepomis gibbosus","high","Lepomis gibbosus","low"
"Leptotes pirithous","low","Leptotes pirithous","low"
"Locustella luscinioides","high","Locustella luscinioides","low"
"Luscinia megarhynchos","medium","Luscinia megarhynchos","high"
"Lycaena phlaeas","low","Lycaena phlaeas","low"
"Macroglossum stellatarum","high","Macroglossum stellatarum","low"
"Mareca strepera","medium","Mareca strepera","high"
"Melitaea didyma","high","Melitaea didyma","medium"
"Merops apiaster","medium","Merops apiaster","high"
"Milvus migrans","low","Milvus migrans","high"
"Motacilla cinerea","medium","Motacilla cinerea","medium"
"Motacilla flava","high","Motacilla flava","high"
"Muscicapa striata","high","Muscicapa striata","medium"
"Netta rufina","medium","Netta rufina","high"
"Numenius arquata","medium","Numenius arquata","high"
"Numenius phaeopus","medium","Numenius phaeopus","medium"
"Nycticorax nycticorax","low","Nycticorax nycticorax","high"
"Oenanthe oenanthe","low","Oenanthe oenanthe","medium"
"Oriolus oriolus","medium","Oriolus oriolus","medium"
"Orthetrum cancellatum","high","Orthetrum cancellatum","medium"
"Oryctes nasicornis","medium","Oryctes nasicornis","low"
"Pandion haliaetus","low","Pandion haliaetus","high"
"Papilio machaon","high","Papilio machaon","low"
"Pararge aegeria","medium","Pararge aegeria","medium"
"Parus major","medium","Parus major","high"
"Passer italiae","high","Passer italiae","high"
"Passer montanus","high","Passer montanus","high"
"Pernis apivorus","low","Pernis apivorus","medium"
"Phalacrocorax carbo","high","Phalacrocorax carbo","high"
"Phasianus colchicus","low","Phasianus colchicus","high"
"Phoenicurus ochruros","medium","Phoenicurus ochruros","high"
"Phylloscopus collybita","medium","Phylloscopus collybita","high"
"Phylloscopus trochilus","medium","Phylloscopus trochilus","medium"
"Pica pica","high","Pica pica","high"
"Picus viridis","high","Picus viridis","high"
"Pimelia bipunctata","high","Pimelia bipunctata","medium"
"Plegadis falcinellus","low","Plegadis falcinellus","medium"
"Pluvialis squatarola","low","Pluvialis squatarola","high"
"Podarcis muralis","high","Podarcis muralis","medium"
"Podiceps cristatus","high","Podiceps cristatus","high"
"Podiceps nigricollis","low","Podiceps nigricollis","high"
"Polyommatus icarus","medium","Polyommatus icarus","medium"
"Procambarus clarkii","medium","Procambarus clarkii","low"
"Prunella modularis","medium","Prunella modularis","medium"
"Ptyonoprogne rupestris","low","Ptyonoprogne rupestris","low"
"Recurvirostra avosetta","medium","Recurvirostra avosetta","high"
"Regulus ignicapilla","high","Regulus ignicapilla","medium"
"Remiz pendulinus","high","Remiz pendulinus","medium"
"Riparia riparia","medium","Riparia riparia","medium"
"Saxicola rubetra","high","Saxicola rubetra","medium"
"Saxicola rubicola","high","Saxicola rubicola","high"
"Serinus serinus","medium","Serinus serinus","high"
"Silurus glanis","medium","Silurus glanis","low"
"Sitta europaea","medium","Sitta europaea","medium"
"Spatula clypeata","high","Spatula clypeata","high"
"Spatula querquedula","high","Spatula querquedula","medium"
"Spinus spinus","medium","Spinus spinus","medium"
"Sterna hirundo","high","Sterna hirundo","high"
"Streptopelia decaocto","high","Streptopelia decaocto","high"
"Streptopelia turtur","medium","Streptopelia turtur","high"
"Sturnus vulgaris","high","Sturnus vulgaris","high"
"Sylvia atricapilla","medium","Sylvia atricapilla","high"
"Sympetrum fonscolombii","high","Sympetrum fonscolombii","medium"
"Sympetrum sanguineum","high","Sympetrum sanguineum","medium"
"Sympetrum striolatum","medium","Sympetrum striolatum","low"
"Tachybaptus ruficollis","low","Tachybaptus ruficollis","high"
"Tadorna tadorna","medium","Tadorna tadorna","high"
"Tarentola mauritanica","high","Tarentola mauritanica","low"
"Threskiornis aethiopicus","medium","Threskiornis aethiopicus","medium"
"Tringa erythropus","medium","Tringa erythropus","high"
"Tringa glareola","low","Tringa glareola","high"
"Tringa nebularia","low","Tringa nebularia","high"
"Tringa ochropus","medium","Tringa ochropus","medium"
"Tringa totanus","low","Tringa totanus","high"
"Trithemis annulata","high","Trithemis annulata","low"
"Troglodytes troglodytes","high","Troglodytes troglodytes","high"
"Turdus merula","high","Turdus merula","high"
"Turdus philomelos","medium","Turdus philomelos","medium"
"Tyto alba","medium","Tyto alba","low"
"Vanellus vanellus","medium","Vanellus vanellus","high"
"Vanessa cardui","medium","Vanessa cardui","medium"
"Xylocopa violacea","medium","Xylocopa violacea","low"
